,id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
38,1016739,Private Room (2)  in Guest House at Coogee Beach,5595776,David,Coogee,151.25541,-33.92398,House,Private room,2,2,64.00,20,3,365,8,100,6
39,1016739,Private Room (2)  in Guest House at Coogee Beach,5595776,David,Coogee,151.25541,-33.92398,House,Private room,2,2,64.00,20,3,365,8,100,6
40,1019168,"Cozy Nest, heart of the Plateau",39300,Lilou,Mile End,-73.58774,45.52028,Apartment,Private room,1,1,34.00,0,2,120,62,98,1
41,1019168,"Cozy Nest, heart of the Plateau",39300,Lilou,Mile End,-73.58774,45.52028,Apartment,Private room,1,1,34.00,0,2,120,62,98,1
42,10201975,Ipanema: moderno apê 2BR + garagem,2537111,Barbara,Santa Teresa,-43.1998455458952,-22.980051683700506,Apartment,Entire home/apt,2,4,298.00,174,4,1125,24,92,13
43,10209136,"Friendly Apartment, 10m from Manly",52453573,Isaac,,151.26969,-33.79629,Apartment,Private room,1,2,36.00,0,1,1125,4,95,1
44,10213499,Great studio opp. Narrabeen Lake,634664,Tracy,,151.29792,-33.71472,Apartment,Entire home/apt,1,2,117.00,26,1,1125,61,97,1
45,10215858,Cozy Queen Guest Room&My,52473150,Danny,Mong Kok,114.17034,22.31655,Apartment,Private room,1,2,330.00,135,1,500,9,73,29
46,10215858,Cozy Queen Guest Room&My,52473150,Danny,Mong Kok,114.17034,22.31655,Apartment,Private room,1,2,330.00,135,1,500,9,73,29
47,1022200,"Kailua-Kona, Kona Coast II 2b condo",3393610,Daniel,Kailua/Kona,-155.96445,19.5702,Apartment,Entire home/apt,3,6,135.00,196,7,7,1,100,1
48,10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",12057949,Holly,Central Business District,-156.68012,20.96996,Condominium,Entire home/apt,2,4,499.00,365,1,1125,1,100,472
49,10228731,Quarto inteiro na Tijuca,12673423,Gilberto,Tijuca,-43.247421907135774,-22.936203246553816,Apartment,Private room,1,1,149.00,178,1,15,1,100,2
50,10233856,Twin Bed room+MTR Mongkok shopping&My,52473150,Danny,Mong Kok,114.17073,22.31723,Apartment,Private room,2,3,400.00,145,1,500,22,83,29
